method,N,T2prime_ms,median,p95,max,median_pct,p95_pct,max_pct
gauss,15,100.0,0.0011791482,0.005715239816345267,0.011208706,0.11791482,0.5715239816345267,1.1208706
gauss,21,100.0,0.00026849553,0.003267516463529314,0.006827689,0.026849553,0.3267516463529314,0.6827689
gauss,31,100.0,1.3184182e-5,0.0026910282380413226,0.0055653476,0.0013184182,0.26910282380413225,0.55653477
quantile,3,100.0,0.01030384,0.01748911151662468,0.025976622,1.0303841,1.7489111516624678,2.5976622
quantile,5,100.0,0.009814182,0.019795641675591454,0.031875405,0.98141825,1.9795641675591453,3.1875405
quantile,7,100.0,0.009254357,0.017777965962886798,0.028014148,0.92543566,1.7777965962886797,2.8014147
quantile,9,100.0,0.008700363,0.013108097808435554,0.018378126,0.87003636,1.3108097808435555,1.8378125
quantile,11,100.0,0.008141348,0.010748940426856275,0.013868447,0.81413484,1.0748940426856275,1.3868448
quantile,15,100.0,0.007078032,0.010856537520885463,0.0152845085,0.7078032,1.0856537520885463,1.5284508
quantile,21,100.0,0.006115484,0.008627005247399207,0.011526706,0.6115484,0.8627005247399208,1.1526706
quantile,31,100.0,0.0049546626,0.006109819002449511,0.0074581737,0.49546626,0.6109819002449511,0.74581736
