batch_size,repeat,spins,timepoints,samples,time_s,spins_per_s,samples_per_s,peak_mem_MB,avg_util_gpu,util_samples
100,5,10100,1000,10100000,25.290739189,399.35566629831493,399355.6662983149,1731.0,20.57,200
100,6,10100,1000,10100000,25.583844783,394.7803813565687,394780.38135656866,1219.0,21.247524752475247,101
100,7,10100,1000,10100000,25.308202856,399.08009499795514,399080.09499795514,1219.0,21.22772277227723,101
100,8,10100,1000,10100000,25.290870332,399.3535954838488,399353.59548384877,1219.0,21.396039603960396,101
200,1,20200,1000,20200000,25.935930451,778.842310599316,778842.310599316,3139.0,21.422053231939163,263
200,2,20200,1000,20200000,25.678526423,786.6495011141707,786649.5011141706,3139.0,21.3271375464684,269
200,3,20200,1000,20200000,25.64211097,787.7666555469243,787766.6555469243,3139.0,21.645283018867925,265
200,4,20200,1000,20200000,25.603909151,788.9420275970265,788942.0275970264,3139.0,21.50557620817844,269
200,5,20200,1000,20200000,25.771114603,783.8232963990051,783823.2963990051,3139.0,21.59925093632959,267
200,6,20200,1000,20200000,25.758363888,784.2112988166355,784211.2988166354,2147.0,21.71212121212121,132
200,7,20200,1000,20200000,25.803543859,782.8382066579763,782838.2066579764,2147.0,21.415384615384614,130
200,8,20200,1000,20200000,25.763854401,784.044176216737,784044.176216737,2179.0,21.584615384615386,130
400,1,40400,1000,40400000,26.477364198,1525.8316385983642,1.525831638598364e6,6019.0,22.68,300
400,2,40400,1000,40400000,26.415826164,1529.3862001203622,1.5293862001203622e6,6019.0,22.64983164983165,297
400,3,40400,1000,40400000,26.489058128,1525.1580409080523,1.5251580409080524e6,6019.0,22.292358803986712,301
400,4,40400,1000,40400000,26.598266759,1518.8959628856244,1.5188959628856243e6,6019.0,22.457044673539517,291
400,5,40400,1000,40400000,26.281338844,1537.2124015372708,1.5372124015372708e6,6019.0,22.52173913043478,299
400,6,40400,1000,40400000,26.346885846,1533.3880533791266,1.5333880533791266e6,4035.0,22.66187050359712,139
400,7,40400,1000,40400000,26.227444238,1540.3712093863073,1.5403712093863075e6,4035.0,22.773722627737225,137
400,8,40400,1000,40400000,26.189194326,1542.6209564565281,1.5426209564565283e6,4035.0,22.708029197080293,137
600,1,60600,1000,60600000,27.16267113,2231.002971319338,2.231002971319338e6,8899.0,24.53993610223642,313
600,2,60600,1000,60600000,26.966821943,2247.2058490277695,2.2472058490277696e6,8899.0,24.815533980582526,309
600,3,60600,1000,60600000,27.116273951,2234.8203189533415,2.2348203189533413e6,8899.0,24.623376623376622,308
600,4,60600,1000,60600000,27.037896213,2241.298639605811,2.241298639605811e6,8899.0,24.398058252427184,309
600,5,60600,1000,60600000,26.995006994,2244.859577679278,2.2448595776792783e6,8899.0,24.899350649350648,308
600,6,60600,1000,60600000,26.985199881,2245.6754171633106,2.245675417163311e6,5923.0,24.73611111111111,144
600,7,60600,1000,60600000,27.325014909,2217.7481037728644,2.217748103772864e6,5923.0,24.67132867132867,143
600,8,60600,1000,60600000,27.204516382,2227.571302833241,2.2275713028332414e6,5923.0,24.748251748251747,143
800,1,80800,1000,80800000,27.865378756,2899.6555441616624,2.8996555441616625e6,11747.0,26.40705128205128,312
800,2,80800,1000,80800000,27.883299221,2897.791949209022,2.897791949209022e6,11747.0,26.411575562700964,311
800,3,80800,1000,80800000,27.966567155,2889.1640347626353,2.8891640347626354e6,11747.0,26.55591054313099,313
800,4,80800,1000,80800000,27.851734138,2901.0760909770106,2.9010760909770103e6,11747.0,26.04823151125402,311
800,5,80800,1000,80800000,27.907969791,2895.2303089441166,2.8952303089441163e6,11747.0,26.309904153354633,313
800,6,80800,1000,80800000,27.91288772,2894.7202027436806,2.8947202027436807e6,7779.0,26.46938775510204,147
800,7,80800,1000,80800000,27.891957987,2896.8923600723765,2.896892360072376e6,7779.0,26.456375838926174,149
800,8,80800,1000,80800000,27.821088003,2904.271752107149,2.9042717521071495e6,7779.0,26.68027210884354,147
1000,1,101000,1000,101000000,28.543847563,3538.415757619214,3.538415757619214e6,13155.0,27.68421052631579,323
1000,2,101000,1000,101000000,28.508121723,3542.850033452553,3.542850033452553e6,13155.0,27.713846153846156,325
1000,3,101000,1000,101000000,28.446475262,3550.527756769924,3.550527756769924e6,13219.0,27.560371517027864,323
1000,4,101000,1000,101000000,28.466871653,3547.98381891591,3.54798381891591e6,13507.0,27.65527950310559,322
1000,5,101000,1000,101000000,28.492593652,3544.7808379112034,3.5447808379112035e6,13539.0,27.719135802469136,324
1000,6,101000,1000,101000000,28.627709167,3528.050372833383,3.528050372833383e6,9667.0,27.383561643835616,146
1000,7,101000,1000,101000000,28.57129698,3535.0162812244866,3.5350162812244864e6,9667.0,27.5,146
1000,8,101000,1000,101000000,28.561493543,3536.229638969759,3.536229638969759e6,9635.0,27.64625850340136,147
1250,1,126250,1000,126250000,29.23049614,4319.119299081456,4.319119299081456e6,11971.0,30.666666666666668,147
1250,2,126250,1000,126250000,29.549654681,4272.469555496258,4.272469555496259e6,12003.0,29.733766233766232,154
1250,3,126250,1000,126250000,29.146629176,4331.5472001118105,4.33154720011181e6,11971.0,30.677852348993287,149
1250,4,126250,1000,126250000,29.364304971,4299.437705904625,4.299437705904624e6,12003.0,30.154362416107382,149
1250,5,126250,1000,126250000,29.371533943,4298.379520967738,4.298379520967738e6,11971.0,30.513513513513512,148
1250,6,126250,1000,126250000,29.613088315,4263.317579613952,4.263317579613952e6,12035.0,29.54,150
1250,7,126250,1000,126250000,29.243406758,4317.212459025907,4.317212459025907e6,12003.0,30.413333333333334,150
1250,8,126250,1000,126250000,29.229127984,4319.321468266488,4.319321468266489e6,11971.0,30.35333333333333,150
1500,1,151500,1000,151500000,30.11166055,5031.273507764088,5.031273507764088e6,13571.0,32.07051282051282,156
1500,2,151500,1000,151500000,30.037300587,5043.728865088778,5.043728865088778e6,13603.0,32.203947368421055,152
1500,3,151500,1000,151500000,29.996281707,5050.625990242171,5.050625990242171e6,12963.0,32.090322580645164,155
1500,4,151500,1000,151500000,30.240339415,5009.864403997133,5.0098644039971335e6,13603.0,31.56687898089172,157
1500,5,151500,1000,151500000,30.03462062,5044.178913287702,5.044178913287702e6,12963.0,32.4025974025974,154
1500,6,151500,1000,151500000,29.993563502,5051.083709673171,5.051083709673171e6,13059.0,31.929032258064517,155
1500,7,151500,1000,151500000,30.209343646,5015.004687798307,5.015004687798307e6,13443.0,32.0,152
1500,8,151500,1000,151500000,30.114935803,5030.726314379452,5.030726314379452e6,13603.0,31.647435897435898,156
